satellite,x_km,y_km,z_km
AMOS_4_001,4275.2603,-11954.206,-2881.346
AMOS_5I_(ASIASAT_2)_001,7318.1616,-12870.791,114.091446
AMOS_5_001,8059.2715,-12608.939,1255.3463
AMSAT_ECHO_001,714.7506,2476.479,3996.2065
AMSAT_OSCAR_40_001,5967.1616,-13648.728,-1567.4191
AMSC_1_001,-8462.449,11892.107,-777.90466
ANDESITE_001,2269.4175,-442.4014,3079.9849
ANGELS_001,3002.643,-1002.69574,3601.3013
ANGOSAT_1_001,9983.77,-5751.244,8938.42
ANGOSAT_2_001,-4616.4194,-4864.444,-8972.953
ANIK_A1_(TELESAT_1)_001,10507.391,-10535.68,5815.217
ANIK_A2_(TELESAT_2)_001,-2060.4832,-7909.463,-8219.676
ANIK_A3_(TELESAT-3)_001,-8180.1396,2183.5613,-9211.441
ANIK_B1_(TELESAT-4)_001,-6932.7354,13371.0,1623.1846
ANIK_C1_R-B(PAM-D)_001,-8858.518,10220.133,-2420.8433
ANIK_C2_R-B(PAM-D)_001,2103.7744,-9181.856,-5137.718
ANIK_C3_(TELESAT-5)_001,7580.3315,828.36786,12053.24
ANIK_C3_R-B(PAM-D)_001,-5802.2437,11444.483,1436.5789
ANIK_D1_(TELESAT_6)_001,-8460.795,3077.5754,-8813.362
ANIK_D2_R-B(PAM-D)_001,-8227.142,10034.1045,-1567.6742
ANIK_E1_001,6985.0537,1474.4806,11854.162
ANIK_E2_001,-9258.205,9768.85,-3329.4346
ANIK_F1-R_001,-6945.459,13097.43,1320.556
ANIK_F1_001,-9434.181,8551.39,-4888.123
ANIK_F2_001,-6629.773,13175.309,1726.1097
ANIK_F3_001,-5862.347,13199.889,2702.7268
ANIK_G1_001,-7000.0845,13037.1,1205.223
ANNA_1B_001,5040.264,-4992.8022,2497.5432
ANSER-FLW1_001,-2275.0605,-2102.9033,-5892.643
ANSER-FLW2_001,-2336.122,-2029.8285,-5905.2896
ANTELSAT_001,-1389.2284,5576.7573,3749.3286
AO-91_001,-2185.1406,4683.9497,1765.5237
AO-95_001,4077.0122,-5033.8184,916.96814
APEX_ARIES_1_001,-904.2626,-838.38806,-2174.6648
APEX_R-B_001,2271.037,-3150.9722,-258.86047
APPLE_001,105.0309,9560.677,9227.535
APRIZESAT_10_001,-57.02234,-4622.524,-5009.2114
APRIZESAT_1_001,-126.04748,-4280.2036,-4997.1523
APRIZESAT_2_001,-3641.935,3191.2954,-2441.694
APRIZESAT_3_001,965.8703,129.42995,1413.928
APRIZESAT_4_001,-910.7164,-3314.504,-5216.9395
APRIZESAT_5_001,-1901.646,2756.045,273.8666
APRIZESAT_6_001,2957.5654,-4126.642,-122.18599
APRIZESAT_7_001,404.12128,836.3407,1760.5669
APRIZESAT_8_001,567.9693,1248.6869,1926.1101
APRIZESAT_9_001,-392.36734,4968.54,4682.0195
APSTAR_1A_001,-5536.391,-3643.1826,-9409.241
APSTAR_1_001,-7197.6753,13340.191,1447.8129
APSTAR_2R_(TELSTAR_10)_001,-7017.173,-440.28836,-9004.864
APSTAR_5_(TELSTAR_18)_001,-9259.973,9989.798,-3332.866
APSTAR_6C_001,10872.026,-9190.91,7204.787
APSTAR_6D_001,10871.785,-9202.631,7195.1426
APSTAR_6E_001,10872.272,-9193.289,7203.198
APSTAR_6E_SPS_001,5795.356,-4920.052,4008.3162
APSTAR_6_001,8769.833,-2816.658,10137.403
APSTAR_7_001,6294.8906,-12494.968,-671.75653
APSTAR_9_001,10813.6455,-8215.641,7886.458
AQUA_001,-619.5742,-3500.74,-4549.5894
ARABSAT_1A_001,10499.611,-6588.8706,8861.695
ARABSAT_1B_001,-5323.6987,13830.878,3959.9038
ARABSAT_1B_R-B(PAM-D)_001,-4841.8853,73.33738,-6517.347
ARABSAT_1DR_(TELSTAR_3A)_001,1905.8136,-11147.149,-5724.0664
ARABSAT_1D_(ANIK_D2)_001,-7853.2866,12720.553,344.14337
ARABSAT_2A_001,-4314.598,13481.17,5227.9106
ARABSAT_2B_001,-7943.8286,1946.6437,-8521.615
ARABSAT_3A_001,-4803.9033,-4675.581,-9123.56
ARABSAT_4B_001,-4140.2456,-5451.1743,-8778.118
ARABSAT_5A_001,-3426.6565,-6294.271,-8524.433
ARABSAT_5C_001,-5015.9844,-4309.027,-9097.036
ARABSAT_6A_001,-3439.0642,-6281.7476,-8531.922
ARABSAT_7B_(BADR_8)_001,-4184.7783,-5420.6064,-8826.46
ARASENE_001,-9341.352,7693.2744,-5562.361
ARASE_(ERG)_001,-9055.379,6011.7505,-7929.9023
ARC-1_001,-4292.9976,5346.1045,-918.82
ARCSAT-1_001,4071.314,-1648.2635,4470.5054
ARCTICSAT-1_001,-1964.0911,4622.2905,2030.2783
ARCTIC_WEATHER_SATELLITE_001,4334.169,-1347.496,5228.9688
ARCTURUS_001,-8816.976,11188.248,-2010.2067
ARGOS_001,-1425.3066,4947.231,2944.9595
ARIANA_1_DEB_001,4769.795,2495.201,9928.502
ARIANE_1_DEB_001,3120.6846,-6067.267,-1503.9465
ARIANE_1_DEB_002,3709.898,-5927.8965,-446.73328
ARIANE_1_DEB_003,-3655.5068,5989.148,701.23083
ARIANE_1_DEB_004,-1803.8673,5771.941,3365.11
ARIANE_1_DEB_005,-4580.2505,3861.3674,-3104.7551
ARIANE_1_DEB_006,-2112.4436,-1329.0344,-5120.761
ARIANE_1_DEB_007,-4622.9233,2898.07,-4175.46
ARIANE_1_DEB_008,-3351.095,3075.7666,-1619.4419
ARIANE_1_DEB_009,-5873.834,3466.6594,-4970.787
ARIANE_1_DEB_010,7945.237,-2783.7788,9024.708
ARIANE_1_DEB_011,-2734.9688,-992.85284,-5637.5093
ARIANE_1_DEB_012,4894.5327,-4729.8364,2589.501
ARIANE_1_DEB_013,-2657.1836,-314.11133,-4887.9673
ARIANE_1_DEB_014,597.94025,3706.269,5074.237
ARIANE_1_DEB_015,-2884.7654,-724.0302,-5552.732
ARIANE_1_DEB_016,2698.1182,-851.8446,3425.307
ARIANE_1_DEB_017,-4356.6797,-3252.6116,-8096.4067
ARIANE_1_DEB_018,-1625.2325,4774.657,2407.27
ARIANE_1_DEB_019,-6719.2227,11480.914,977.12103
ARIANE_1_DEB_020,-7975.129,4753.9736,-6807.663
ARIANE_1_DEB_021,5603.959,-6284.467,2361.676
ARIANE_1_DEB_022,-8178.6587,7703.4707,-4654.2354
ARIANE_1_DEB_023,-8486.329,4828.757,-7535.2104
ARIANE_1_DEB_024,-8039.5615,11988.924,-515.4219
ARIANE_1_DEB_025,-7120.1064,2568.1914,-7374.309
ARIANE_1_DEB_026,-6813.8896,11429.432,447.7723
ARIANE_1_DEB_027,8198.17,-8093.5684,4612.1045
ARIANE_1_DEB_028,-8581.486,10614.855,-2383.387
ARIANE_1_DEB_029,-8332.997,4824.813,-7302.9683
ARIANE_1_DEB_030,-5458.4355,844.45026,-6940.6685
ARIANE_1_DEB_031,9407.543,-6986.8955,7100.889
ARIANE_1_DEB_032,739.56335,3475.004,5057.566
ARIANE_1_DEB_033,8638.595,-7300.141,5819.236
ARIANE_1_DEB_034,10183.888,-7812.42,7407.6484
ARIANE_1_DEB_035,2626.0764,1667.9526,5971.8384
ARIANE_1_DEB_036,-2382.5898,6342.49,2942.318
ARIANE_1_DEB_037,2878.727,-1499.4987,3003.3801
